Reef,Transect,Distance,Core,P,Contents,CoreID
YM1A,1,1,1,0.096555081,Blades,YM1A_1_1_1
YM1A,1,1,2,0.100162505,Blades,YM1A_1_1_2
YM1A,1,1,3,0.098796681,Blades,YM1A_1_1_3
YM1A,1,20,1,0.075772169,Blades,YM1A_1_20_1
YM1A,1,20,2,0.072158211,Blades,YM1A_1_20_2
YM1A,1,20,3,0.096137554,Blades,YM1A_1_20_3
YM1A,2,1,1,0.079426776,Blades,YM1A_2_1_1
YM1A,2,1,2,0.087455397,Blades,YM1A_2_1_2
YM1A,2,1,3,0.087449787,Blades,YM1A_2_1_3
YM1A,2,20,1,0.100555824,Blades,YM1A_2_20_1
YM1A,2,20,2,0.139921306,Blades,YM1A_2_20_2
YM1A,2,20,3,0.084806841,Blades,YM1A_2_20_3
YM1A,3,1,1,0.074471125,Blades,YM1A_3_1_1
YM1A,3,1,2,0.081506495,Blades,YM1A_3_1_2
YM1A,3,1,3,0.07024379,Blades,YM1A_3_1_3
YM1A,3,20,1,0.063818337,Blades,YM1A_3_20_1
YM1A,3,20,2,0.06400304,Blades,YM1A_3_20_2
YM1A,3,20,3,0.081200513,Blades,YM1A_3_20_3
YM1B,1,1,1,0.080577292,Blades,YM1B_1_1_1
YM1B,1,1,2,0.090217155,Blades,YM1B_1_1_2
YM1B,1,1,3,0.087772555,Blades,YM1B_1_1_3
YM1B,1,20,1,0.090300313,Blades,YM1B_1_20_1
YM1B,1,20,2,0.088626373,Blades,YM1B_1_20_2
YM1B,1,20,3,0.106465271,Blades,YM1B_1_20_3
YM1B,2,1,1,0.097728581,Blades,YM1B_2_1_1
YM1B,2,1,2,0.094278439,Blades,YM1B_2_1_2
YM1B,2,1,3,0.10010581,Blades,YM1B_2_1_3
YM1B,2,20,1,0.087710947,Blades,YM1B_2_20_1
YM1B,2,20,2,0.07762426,Blades,YM1B_2_20_2
YM1B,2,20,3,0.062950882,Blades,YM1B_2_20_3
YM1B,3,1,1,0.069534252,Blades,YM1B_3_1_1
YM1B,3,1,2,0.069009198,Blades,YM1B_3_1_2
YM1B,3,1,3,0.060389688,Blades,YM1B_3_1_3
YM1B,3,20,1,0.055601872,Blades,YM1B_3_20_1
YM1B,3,20,2,0.057217938,Blades,YM1B_3_20_2
YM1B,3,20,3,0.054756067,Blades,YM1B_3_20_3
YM1C,1,1,1,0.256808409,Blades,YM1C_1_1_1
YM1C,1,1,2,0.192590548,Blades,YM1C_1_1_2
YM1C,1,1,3,0.23879696,Blades,YM1C_1_1_3
YM1C,1,20,1,0.08942729,Blades,YM1C_1_20_1
YM1C,1,20,2,0.078143873,Blades,YM1C_1_20_2
YM1C,1,20,3,0.099799118,Blades,YM1C_1_20_3
YM1C,2,1,1,0.197884046,Blades,YM1C_2_1_1
YM1C,2,1,2,0.171031562,Blades,YM1C_2_1_2
YM1C,2,1,3,0.166028371,Blades,YM1C_2_1_3
YM1C,2,20,1,0.07967368,Blades,YM1C_2_20_1
YM1C,2,20,2,0.099040924,Blades,YM1C_2_20_2
YM1C,2,20,3,0.09074391,Blades,YM1C_2_20_3
YM1C,3,1,1,0.178117031,Blades,YM1C_3_1_1
YM1C,3,1,2,0.140830186,Blades,YM1C_3_1_2
YM1C,3,1,3,0.182123887,Blades,YM1C_3_1_3
YM1C,3,20,1,0.06406124,Blades,YM1C_3_20_1
YM1C,3,20,2,0.081463608,Blades,YM1C_3_20_2
YM1C,3,20,3,0.065630293,Blades,YM1C_3_20_3
YM1D,1,1,1,0.155894019,Blades,YM1D_1_1_1
YM1D,1,1,1,0.157689337,Blades,YM1D_1_1_1
YM1D,1,1,1,0.152220271,Blades,YM1D_1_1_1
YM1D,1,1,1,0.125784751,Blades,YM1D_1_1_1
YM1D,1,1,2,0.157811122,Blades,YM1D_1_1_2
YM1D,1,1,3,0.176727171,Blades,YM1D_1_1_3
YM1D,1,20,1,0.102277715,Blades,YM1D_1_20_1
YM1D,1,20,2,0.085065705,Blades,YM1D_1_20_2
YM1D,1,20,3,0.097374067,Blades,YM1D_1_20_3
YM1D,2,1,1,0.168082292,Blades,YM1D_2_1_1
YM1D,2,1,2,0.189643554,Blades,YM1D_2_1_2
YM1D,2,1,3,0.168313237,Blades,YM1D_2_1_3
YM1D,2,20,1,0.135337671,Blades,YM1D_2_20_1
YM1D,2,20,2,0.094361289,Blades,YM1D_2_20_2
YM1D,2,20,3,0.11212645,Blades,YM1D_2_20_3
YM1D,3,1,1,0.176086191,Blades,YM1D_3_1_1
YM1D,3,1,2,0.179089894,Blades,YM1D_3_1_2
YM1D,3,1,3,0.212462557,Blades,YM1D_3_1_3
YM1D,3,1,3,0.221828908,Blades,YM1D_3_1_3
YM1D,3,1,3,0.220389346,Blades,YM1D_3_1_3
YM1D,3,1,3,0.206847943,Blades,YM1D_3_1_3
YM1D,3,20,1,0.079976299,Blades,YM1D_3_20_1
YM1D,3,20,2,0.090483298,Blades,YM1D_3_20_2
YM1D,3,20,3,0.082371512,Blades,YM1D_3_20_3
YM2A,1,1,1,0.083278254,Blades,YM2A_1_1_1
YM2A,1,1,2,0.089886897,Blades,YM2A_1_1_2
YM2A,1,1,3,0.097955031,Blades,YM2A_1_1_3
YM2A,1,20,1,0.071951759,Blades,YM2A_1_20_1
YM2A,1,20,2,0.06179068,Blades,YM2A_1_20_2
YM2A,1,20,3,0.073761698,Blades,YM2A_1_20_3
YM2A,2,1,1,0.133709309,Blades,YM2A_2_1_1
YM2A,2,1,2,0.118273192,Blades,YM2A_2_1_2
YM2A,2,1,3,0.096902273,Blades,YM2A_2_1_3
YM2A,2,20,1,0.083559278,Blades,YM2A_2_20_1
YM2A,2,20,2,0.068347631,Blades,YM2A_2_20_2
YM2A,2,20,3,0.077649866,Blades,YM2A_2_20_3
YM2A,3,1,1,0.06956827,Blades,YM2A_3_1_1
YM2A,3,1,2,0.085585731,Blades,YM2A_3_1_2
YM2A,3,1,3,0.091753006,Blades,YM2A_3_1_3
YM2A,3,20,1,0.071468822,Blades,YM2A_3_20_1
YM2A,3,20,2,0.074922926,Blades,YM2A_3_20_2
YM2A,3,20,3,0.077193073,Blades,YM2A_3_20_3
YM2B,1,1,1,0.092497646,Blades,YM2B_1_1_1
YM2B,1,1,2,0.08818796,Blades,YM2B_1_1_2
YM2B,1,1,3,0.0952623,Blades,YM2B_1_1_3
YM2B,1,20,2,0.071202404,Blades,YM2B_1_20_2
YM2B,1,20,3,0.079459258,Blades,YM2B_1_20_3
YM2B,2,1,1,0.091870837,Blades,YM2B_2_1_1
YM2B,2,1,2,0.135251617,Blades,YM2B_2_1_2
YM2B,2,1,3,0.100969382,Blades,YM2B_2_1_3
YM2B,2,20,1,0.069954891,Blades,YM2B_2_20_1
YM2B,2,20,2,0.088535757,Blades,YM2B_2_20_2
YM2B,2,20,3,0.075242958,Blades,YM2B_2_20_3
YM2B,3,1,1,0.095736757,Blades,YM2B_3_1_1
YM2B,3,1,2,0.096805922,Blades,YM2B_3_1_2
YM2B,3,1,3,0.093481688,Blades,YM2B_3_1_3
YM2B,3,20,1,0.074253161,Blades,YM2B_3_20_1
YM2B,3,20,2,0.094184435,Blades,YM2B_3_20_2
YM2B,3,20,3,0.073995926,Blades,YM2B_3_20_3
YM2C,1,1,1,0.124376158,Blades,YM2C_1_1_1
YM2C,1,1,2,0.137484745,Blades,YM2C_1_1_2
YM2C,1,1,3,0.14281993,Blades,YM2C_1_1_3
YM2C,1,20,1,0.071459471,Blades,YM2C_1_20_1
YM2C,1,20,2,0.075791181,Blades,YM2C_1_20_2
YM2C,1,20,3,0.074486979,Blades,YM2C_1_20_3
YM2C,2,1,1,0.172669472,Blades,YM2C_2_1_1
YM2C,2,1,2,0.158063741,Blades,YM2C_2_1_2
YM2C,2,1,3,0.212100371,Blades,YM2C_2_1_3
YM2C,2,1,3,0.212702367,Blades,YM2C_2_1_3
YM2C,2,1,3,0.212361971,Blades,YM2C_2_1_3
YM2C,2,1,3,0.209540646,Blades,YM2C_2_1_3
YM2C,2,20,1,0.070907672,Blades,YM2C_2_20_1
YM2C,2,20,2,0.068290492,Blades,YM2C_2_20_2
YM2C,2,20,3,0.095231816,Blades,YM2C_2_20_3
YM2C,3,1,1,0.141202019,Blades,YM2C_3_1_1
YM2C,3,1,2,0.147137148,Blades,YM2C_3_1_2
YM2C,3,1,3,0.11874191,Blades,YM2C_3_1_3
YM2C,3,20,1,0.066277186,Blades,YM2C_3_20_1
YM2C,3,20,2,0.054002937,Blades,YM2C_3_20_2
YM2C,3,20,3,0.061397674,Blades,YM2C_3_20_3
YM2D,1,1,1,0.175926174,Blades,YM2D_1_1_1
YM2D,1,1,2,0.124384612,Blades,YM2D_1_1_2
YM2D,1,1,2,0.120213455,Blades,YM2D_1_1_2
YM2D,1,1,2,0.131752337,Blades,YM2D_1_1_2
YM2D,1,1,2,0.129846083,Blades,YM2D_1_1_2
YM2D,1,1,3,0.135099922,Blades,YM2D_1_1_3
YM2D,1,20,1,0.082064183,Blades,YM2D_1_20_1
