Contents,CoreID,N,d15N,C,d13C
Blades,YM1A_1_1_1,1.408304968,-0.032914757,40.75772286,-8.475005846
Blades,YM1A_1_1_2,1.478051494,1.297394812,38.96671412,-8.246801943
Blades,YM1A_1_1_3,1.368971232,0.612392257,40.91622944,-8.906928255
Blades,YM1A_1_1_3,1.39846873,0.699926016,42.2030244,-8.743365801
Blades,YM1A_1_1_3,1.400136569,0.753871239,41.82449112,-8.936310732
Blades,YM1A_1_20_1,1.199261137,-0.397299474,39.15968851,-8.690477343
Blades,YM1A_1_20_2,1.203167578,-0.189661256,39.32587213,-8.488717669
Blades,YM1A_1_20_3,1.284932281,-0.450226864,41.54494192,-8.142983859
Blades,YM1A_2_1_1,1.568024932,-0.48885414,42.09706551,-7.597348322
Blades,YM1A_2_1_1,1.600350706,-0.482752829,42.65142078,-7.556780251
Blades,YM1A_2_1_1,1.601897894,-0.661590597,43.43212923,-7.649901701
Blades,YM1A_2_1_2,1.553613733,0.585368984,43.57935906,-8.443120796
Blades,YM1A_2_1_3,1.688644895,0.929990683,43.25910824,-7.97819808
Blades,YM1A_2_20_1,1.319772846,0.739327199,42.19290316,-8.013583318
Blades,YM1A_2_20_2,1.333873997,0.176513062,42.51047797,-7.865161901
Blades,YM1A_2_20_3,1.365563074,-0.051875283,41.81644308,-8.176748585
Blades,YM1A_3_1_1,1.687717403,-0.000245152,41.54183885,-7.605710863
Blades,YM1A_3_1_2,1.671351745,-0.365574471,42.64051469,-8.198771371
Blades,YM1A_3_1_3,1.563516206,0.721254815,42.26560585,-7.589018763
Blades,YM1A_3_20_1,1.503648514,0.098464999,41.14873634,-8.315616073
Blades,YM1A_3_20_2,1.508686064,-0.236335408,42.08368277,-7.64695017
Blades,YM1A_3_20_3,1.41438509,0.601174425,41.10851754,-8.262594107
Blades,YM1B_1_1_1,1.414560857,1.448034305,41.44267346,-8.066589419
Blades,YM1B_1_1_2,1.20925332,1.107059778,40.21629885,-8.410364397
Blades,YM1B_1_1_3,1.305595351,0.375815279,41.12299116,-9.197649965
Blades,YM1B_1_20_1,1.461880645,0.0841362,39.67604575,-7.716937945
Blades,YM1B_1_20_2,1.345310624,0.28973875,38.82965281,-7.703226123
Blades,YM1B_1_20_3,1.416088632,0.53910818,41.11104043,-7.941224185
Blades,YM1B_2_1_1,1.471797022,0.428351997,42.28079703,-7.555541065
Blades,YM1B_2_1_2,1.501948029,0.458939721,42.56552257,-8.068627023
Blades,YM1B_2_1_3,1.677591819,1.01257754,42.31750225,-7.826827893
Blades,YM1B_2_20_1,1.576757682,0.166317154,41.80992541,-8.756673326
Blades,YM1B_2_20_2,1.472352373,-1.243776959,41.89228922,-7.989993159
Blades,YM1B_2_20_3,1.497262668,-0.04040776,40.2027352,-7.799199212
Blades,YM1B_3_1_1,1.81329794,0.519763992,42.06628112,-7.098074635
