CoreID,Reef,Transect,Distance,Core,Tin,Contents,Notes,Dry_weight
YM4B_1_1_3,YM4B,1,1,3,678,Flowers,acid,0.0166
YM4B_1_1_3,YM4B,1,1,3,674,Sheaths,acid,0.9915
YM4B_1_1_3,YM4B,1,1,3,829,Rhizomes,acid,1.6439
YM4B_1_1_3,YM4B,1,1,3,828,Rhizomes,acid,1.6469
YM4B_1_1_3,YM4B,1,1,3,670,Rhizomes,acid,1.1443
YM4B_1_1_3,YM4B,1,1,3,718,Roots,acid,0.9272
YM4B_1_1_3,YM4B,1,1,3,378,Roots,acid,0.7799
YM4A_1_20_3,YM4A,1,20,3,52,Sheaths,,0.6754
YM4A_1_20_3,YM4A,1,20,3,512,Rhizomes,,1.5867
YM4A_1_20_3,YM4A,1,20,3,74,Rhizomes,,1.7725
YM4A_1_20_3,YM4A,1,20,3,841,Rhizomes,acid,0.6374
YM4A_1_20_3,YM4A,1,20,3,385,Rhizomes,acid,1.097
YM4A_1_20_3,YM4A,1,20,3,56,Roots,,0.3555
YM4A_1_20_3,YM4A,1,20,3,58,Roots,acid,0.3494
YM4A_1_20_3,YM4A,1,20,3,90,Roots,acid,0.3726
YM4A_1_20_3,YM4A,1,20,3,788,Roots,acid,0.1952
YM4A_1_20_3,YM4A,1,20,3,509,Detritus,acid,0.5491
YM4A_1_20_3,YM4A,1,20,3,420,Detritus,acid,0.5273
YM4A_1_20_3,YM4A,1,20,3,798,Detritus,acid,0.4716
YM4A_1_20_3,YM4A,1,20,3,383,Detritus,acid,0.7078
YM4A_1_20_3,YM4A,1,20,3,789,Detritus,acid,0.6602
YM4D_1_1_1,YM4D,1,1,1,388,Sheaths,,1.2164
YM4D_1_1_1,YM4D,1,1,1,266,Rhizomes,,1.7831
YM4D_1_1_1,YM4D,1,1,1,681,Roots,,0.2416
YM4D_1_1_1,YM4D,1,1,1,823,Roots,acid,0.3281
YM4D_1_1_1,YM4D,1,1,1,565,Roots,acid,0.5222
YM4D_1_1_1,YM4D,1,1,1,495,Roots,acid,0.5002
YM4D_1_1_1,YM4D,1,1,1,640,Detritus,acid,0.4756
YM4C_1_20_3,YM4C,1,20,3,638,Sheaths,,0.5389
YM4C_1_20_3,YM4C,1,20,3,277,Rhizomes,,1.8161
YM4C_1_20_3,YM4C,1,20,3,809,Rhizomes,,1.0079
YM4C_1_20_3,YM4C,1,20,3,810,Roots,,0.2117
YM4C_1_20_3,YM4C,1,20,3,164,Roots,acid,0.6239
YM4C_1_20_3,YM4C,1,20,3,337,Roots,acid,0.3135
YM4C_1_20_3,YM4C,1,20,3,761,Roots,acid,0.2877
YM4C_1_20_3,YM4C,1,20,3,166,Detritus,acid,0.4577
YM4B_1_20_3,YM4B,1,20,3,491,Sheaths,,1.228
YM4B_1_20_3,YM4B,1,20,3,623,Rhizomes,,2.4788
YM4B_1_20_3,YM4B,1,20,3,496,Rhizomes,,2.7319
YM4B_1_20_3,YM4B,1,20,3,353,Rhizomes,acid,0.4576
YM4B_1_20_3,YM4B,1,20,3,799,Roots,,0.3187
YM4B_1_20_3,YM4B,1,20,3,494,Roots,acid,0.4733
YM4B_1_20_3,YM4B,1,20,3,106,Roots,acid,0.4729
YM4B_1_20_3,YM4B,1,20,3,349,Roots,acid,0.4727
YM4B_1_20_3,YM4B,1,20,3,367,Roots,acid,0.1769
YM4B_1_20_3,YM4B,1,20,3,360,Detritus,acid,0.5334
YM4B_1_20_3,YM4B,1,20,3,352,Detritus,acid,0.5778
YM1B_1_1_2,YM1B,1,1,2,226,Sheaths,,1.124
YM1B_1_1_2,YM1B,1,1,2,126,Roots,,0.3019
YM1B_1_1_2,YM1B,1,1,2,124,Roots,acid,0.5028
YM1B_1_1_2,YM1B,1,1,2,835,Roots,acid,0.2843
YM1B_1_1_2,YM1B,1,1,2,757,Roots,acid,0.4502
