SampleID,N,d15N,C,d13C
YM1A_1_1_1_Rt,0.837628114,0.012470272,35.57435313,-6.972995813
YM1A_1_1_1_Rz,0.487946016,0.38058272,35.04041053,-7.037311048
YM1A_1_1_1_S,0.714413039,-0.232599066,36.32039158,-7.879345889
YM1A_1_1_2_Rt,0.844791222,0.484305012,35.81199554,-6.51487345
YM1A_1_1_2_Rz,0.559452462,1.365944495,36.23843308,-7.203541193
YM1A_1_1_2_S,0.777923043,0.531081732,38.01057559,-7.268845893
YM1A_1_1_3_Rt,0.782828911,0.766999102,36.23495305,-6.763229202
YM1A_1_1_3_Rz,0.474899021,0.657175499,36.65475551,-7.463770527
YM1A_1_1_3_S,0.796447344,0.492440094,36.67986711,-8.494793212
YM1A_1_20_1_Rt,0.749833163,-0.273143658,34.35320865,-7.111459399
YM1A_1_20_1_Rz,0.496490852,0.581878476,36.21962959,-7.93832654
YM1A_1_20_1_S,0.721518671,-0.152890247,37.20728811,-8.185299999
YM1A_1_20_2_Rt,0.877485969,-0.196711405,36.59122983,-7.416718594
YM1A_1_20_2_Rz,0.529057399,-0.286391915,34.70533899,-7.79409404
YM1A_1_20_2_S,0.772746102,0.111055799,37.75390867,-8.307798834
YM1A_1_20_3_Rt,0.734756034,-0.273143658,35.65475534,-7.16579356
YM1A_1_20_3_Rz,0.451716656,0.074368318,33.34758681,-7.726917259
YM1A_1_20_3_Rz,0.446368366,0.262347664,33.25843554,-7.483267171
YM1A_1_20_3_Rz,0.435446425,0.759614997,33.01566687,-7.348372772
YM1A_1_20_3_S,0.759468159,-0.304735656,39.06390146,-7.95116916
YM1A_2_1_1_Rt,0.769162216,-0.53147678,37.13764494,-6.410964758
YM1A_2_1_1_Rz,0.45062783,-0.762873369,33.57078213,-6.962552682
YM1A_2_1_1_S,0.701854565,-0.671931478,36.1793592,-7.06851302
YM1A_2_1_2_Rt,0.847047891,0.05560365,36.1913438,-6.581293525
YM1A_2_1_2_Rz,0.465168524,0.264769999,35.01542564,-7.425015089
YM1A_2_1_2_S,0.726729179,0.223340916,37.51007953,-7.539887978
YM1A_2_1_3_Rt,0.819843653,0.06671877,33.80826121,-6.657545356
YM1A_2_1_3_Rz,0.579354929,0.463831694,35.91392731,-7.24280292
YM1A_2_1_3_S,0.830380858,0.503239847,37.73591525,-7.66961512
YM1A_2_20_1_Rt,0.691930099,0.127976281,33.21871502,-6.900715095
YM1A_2_20_1_Rz,0.496540593,1.669686364,36.84975867,-8.079962891
YM1A_2_20_1_S,0.763972133,1.017385266,36.28320985,-7.605710863
YM1A_2_20_2_Rt,0.620388734,-0.290269821,31.8087454,-7.200191014
YM1A_2_20_2_Rz,0.471194111,-0.802137921,37.83849786,-8.546359813
YM1A_2_20_2_S,0.64192063,0.079130021,34.72761345,-8.066216456
YM1A_2_20_3_Rt,0.666138946,-0.11829028,34.50805977,-7.632221846
YM1A_2_20_3_Rz,0.419656902,-0.16611891,35.22368558,-8.189934376
YM1A_2_20_3_S,0.681750937,-0.111166867,36.83064346,-8.024977149
YM1A_3_1_1_Rt,0.938194239,-0.038478046,39.20877587,-6.515876571
YM1A_3_1_1_Rz,0.549579118,0.749427542,37.0569763,-7.134930061
YM1A_3_1_1_S,0.845652359,-0.102066895,39.03420434,-6.903284239
YM1A_3_1_1_S,0.852589592,-0.092131137,39.16151081,-6.789458275
YM1A_3_1_1_S,0.852589592,-0.128893441,39.16151081,-6.67563231
YM1A_3_1_2_Rt,0.915095187,0.119500502,38.75728968,-6.560807873
YM1A_3_1_2_Rz,0.567005169,-0.022580833,36.413643,-7.164884262
YM1A_3_1_2_S,0.929954946,0.145333472,39.42111829,-7.346606416
YM1A_3_1_3_Rt,0.897915139,0.526866569,37.51494524,-6.172401731
YM1A_3_1_3_Rz,0.481677642,0.575551782,35.88886001,-6.873330038
YM1A_3_1_3_S,0.935323251,0.701735905,38.98960782,-6.948215541
YM1A_3_20_1_Rt,0.826669509,0.844678996,37.93648109,-6.293276831
YM1A_3_20_1_Rz,0.646645769,0.721445785,38.83036094,-7.109704135
YM1A_3_20_1_S,0.774097236,0.603222055,39.19019163,-7.193259581
YM1A_3_20_2_Rt,0.840153926,0.392823891,37.66619678,-6.614411615
YM1A_3_20_2_Rz,0.502540783,0.510045725,36.22317076,-6.927492863
YM1A_3_20_2_S,0.809260822,0.818629699,39.26757262,-7.489227062
YM1A_3_20_3_Rt,0.911859211,0.246547072,38.32631618,-7.334196477
YM1A_3_20_3_Rz,0.614561518,0.410858019,38.58810423,-7.368424009
YM1A_3_20_3_S,0.797034144,0.788572819,38.98399695,-7.71673948
YM1B_1_1_1_Rt,0.817221832,0.713104186,37.54848897,-6.978932604
YM1B_1_1_1_Rz,0.64542907,0.068398958,37.54884155,-7.874398564
YM1B_1_1_1_S,0.807278581,1.212394827,38.02426273,-8.08317571
YM1B_1_1_2_Rt_1,0.771541674,0.136508584,33.27096047,-6.467591695
YM1B_1_1_2_Rz_1,0.596369248,0.415587189,35.71114104,-7.906795909
YM1B_1_1_2_S_1,0.68714852,1.497397346,33.25826663,-7.89092598
YM1B_1_1_3_Rt,0.793792265,0.042976828,34.71785525,-6.767187063
YM1B_1_1_3_Rz,0.547077354,-0.014985629,35.97601411,-7.54886453
YM1B_1_1_3_S,0.834097134,-0.386148733,37.87790576,-8.462140862
YM1B_1_20_1_Rt,0.700612277,0.015260709,32.9868776,-6.704447139
YM1B_1_20_1_Rz,0.479179158,0.408632036,34.85189351,-7.601454742
YM1B_1_20_1_S,0.775069536,0.329142494,37.87765781,-7.556999519
YM1B_1_20_2_Rt_1,0.857337871,0.292792603,33.50100201,-6.605461706
YM1B_1_20_2_Rz_1,0.511542924,0.553604245,34.78654211,-7.236291396
YM1B_1_20_2_S_1,0.782203508,0.750481515,33.62212818,-7.286876796
YM1B_1_20_3_Rt,0.690051933,0.387231006,33.26779246,-6.935614296
YM1B_1_20_3_Rz,0.363767982,0.990536254,35.30269439,-8.503401814
YM1B_1_20_3_S,0.81498321,0.559458348,37.63061722,-7.68344993
YM1B_2_1_1_Rt,0.873657165,-0.294017398,36.68596377,-6.69517613
YM1B_2_1_1_Rz,0.496979203,0.248602552,36.80168746,-7.367578645
YM1B_2_1_1_S,0.761989661,0.317314203,37.79538749,-7.248744622
YM1B_2_1_2_Rt,0.746571831,0.137451352,36.60251272,-6.706069249
YM1B_2_1_2_Rz,0.499932738,0.153618799,36.0591397,-7.053658767
YM1B_2_1_2_S,0.878222946,0.806379484,37.29729497,-7.969671029
YM1B_2_1_3_Rt,0.915769751,0.172817643,36.63001193,-6.382246536
YM1B_2_1_3_Rz,0.58981924,0.430486334,36.64151835,-6.716962368
YM1B_2_1_3_S,0.856907734,0.595192203,37.73049711,-7.381442614
YM1B_2_20_1_Rt,0.832946422,-0.115237389,37.63636732,-7.253212979
YM1B_2_20_1_Rz,0.597640022,0.060812674,38.32063108,-8.027922814
YM1B_2_20_1_S,0.782345704,-0.099972932,38.9404066,-8.101564433
YM1B_2_20_2_Rt,0.918054975,-0.464284622,37.11357465,-7.01657791
YM1B_2_20_2_Rz,0.545862276,0.337608147,38.1576163,-7.33176404
YM1B_2_20_2_S,0.709780029,-0.876424941,38.89940278,-7.20215479
YM1B_2_20_3_Rt,0.871321764,-0.317745842,36.03911286,-6.816272705
YM1B_2_20_3_Rz,0.536255042,0.627632816,36.72360242,-7.61356597
YM1B_2_20_3_S,0.775316703,-0.21496517,38.20529074,-7.674443041
YM1B_3_1_1_Rt,0.894012814,0.551705964,37.9953941,-5.992676524
YM1B_3_1_1_Rz,0.559544257,0.133410563,36.97019422,-6.632697955
YM1B_3_1_1_S,0.932486344,0.364913718,39.83423302,-6.940227754
YM1B_3_1_2_Rt,0.870428509,0.606352631,38.29663883,-6.56879566
YM1B_3_1_2_Rz,0.533991013,-0.113989804,36.29244319,-7.055052192
YM1B_3_1_2_S,0.87876633,0.525872993,39.60983533,-7.483397268
YM1B_3_1_3_Rt,0.885899586,0.307286323,37.95699877,-6.362111672
YM1B_3_1_3_Rz,0.620349281,0.17414717,37.61620337,-6.940227754
YM1B_3_1_3_S,1.03525893,0.932245485,39.42911455,-7.71803851
YM1B_3_20_1_Rt,1.128771445,-0.030978126,39.05028592,-6.798636272
YM1B_3_20_1_Rz,0.531994056,0.424884563,35.73295906,-7.581842737
YM1B_3_20_1_S,0.911662526,1.028025967,40.39475798,-7.279835103
YM1B_3_20_2_Rt,0.997621554,-0.019957269,35.69101653,-6.296296907
YM1B_3_20_2_Rz,0.62255916,-0.645140386,32.98019417,-6.841924033
YM1B_3_20_2_S,0.826213936,0.504034349,37.57056666,-7.047289224
YM1B_3_20_3_Rt,0.916267212,0.43089594,36.86481042,-6.660719453
YM1B_3_20_3_Rz,0.559464614,-0.105118431,33.63251612,-7.181179275
YM1B_3_20_3_S,0.800302257,1.154264866,38.40158368,-7.417751922
YM1C_1_1_1_Rt,0.887473587,1.178837615,35.04216831,-7.294571987
YM1C_1_1_1_Rz,0.647660066,1.60491252,36.98226126,-9.621794016
YM1C_1_1_1_S,0.974107497,3.258367882,36.96993506,-10.42128186
YM1C_1_1_2_Rt_1,0.845570721,0.307209549,33.14231848,-7.946894508
