CoreID,Reef,Transect,Distance,Core,Species,Tin,Contents,Dry_weight
YM2C_3_1_1,YM2C,3,1,1,Syringodium,1253,Blades,0.2926
YM2C_3_1_1,YM2C,3,1,1,Syringodium,1060,Rhizomes,0.5507
YM2C_3_1_1,YM2C,3,1,1,Syringodium,3004,Roots,0.0817
YM1A_3_1_3,YM1A,3,1,3,Syringodium,1279,Roots,0.0086
YM1A_3_1_3,YM1A,3,1,3,Syringodium,883,Rhizomes,0.0324
YM1A_3_1_3,YM1A,3,1,3,Syringodium,1040,Blades,0.0114
YM2A_3_20_1,YM2A,3,20,1,Syringodium,1131,Roots,0.0101
YM2A_3_20_1,YM2A,3,20,1,Syringodium,1657,Blades,0.0004
YM2A_3_20_1,YM2A,3,20,1,Syringodium,876,Rhizomes,0.0037
YM4C_3_1_2,YM4C,3,1,2,Syringodium,3047,Blades,0.0244
YM4C_3_1_2,YM4C,3,1,2,Syringodium,1058,Rhizomes,0.1396
YM4C_3_1_2,YM4C,3,1,2,Syringodium,1033,Roots,0.0486
YM4D_3_20_2,YM4D,3,20,2,Syringodium,3175,Roots,0.0015
YM4C_3_1_3,YM4C,3,1,3,Syringodium,1945,Blades,0.2135
YM4C_3_1_3,YM4C,3,1,3,Syringodium,1039,Roots,0.0667
YM4C_3_1_3,YM4C,3,1,3,Syringodium,1270,Rhizomes,0.3813
YM2A_3_1_2,YM2A,3,1,2,Syringodium,1095,Blades,0.0378
YM2A_3_1_2,YM2A,3,1,2,Syringodium,1687,Roots,0.0528
YM2A_3_1_2,YM2A,3,1,2,Syringodium,3170,Rhizomes,0.0669
YM3C_3_1_1,YM3C,3,1,1,Syringodium,1170,Roots,0.0011
YM1A_3_1_2,YM1A,3,1,2,Syringodium,3065,Roots,0.0002
YM1A_3_1_2,YM1A,3,1,2,Syringodium,3205,Blades,0.0008
YM4C_3_20_3,YM4C,3,20,3,Syringodium,1239,Roots,0.0018
YM2D_3_20_1,YM2D,3,20,1,Syringodium,1857,Roots,0.0015
YM3A_3_1_3,YM3A,3,1,3,Syringodium,3024,Blades,0.0065
YM3C_3_1_2,YM3C,3,1,2,Syringodium,3080,Rhizomes,0.0107
YM3C_3_1_2,YM3C,3,1,2,Syringodium,3147,Roots,0.0005
YM2B_3_1_1,YM2B,3,1,1,Syringodium,3002,Rhizomes,0.0462
YM2B_3_20_1,YM2B,3,20,1,Syringodium,1946,Blades,0.0011
YM2B_3_20_3,YM2B,3,20,3,Syringodium,3123,Rhizomes,0.1092
YM2B_3_20_3,YM2B,3,20,3,Syringodium,3140,Roots,0.0168
YM2B_3_20_3,YM2B,3,20,3,Syringodium,1251,Blades,0.0186
YM4A_3_20_3,YM4A,3,20,3,Syringodium,1292,Rhizomes,0.0634
YM4A_3_20_3,YM4A,3,20,3,Syringodium,937,Roots,0.0236
YM4A_3_20_3,YM4A,3,20,3,Syringodium,1086,Blades,0.017
YM1D_3_1_1,YM1D,3,1,1,Syringodium,1132,Rhizomes,0.4725
YM1D_3_1_1,YM1D,3,1,1,Syringodium,1066,Roots,0.1363
YM1D_3_1_1,YM1D,3,1,1,Syringodium,980,Blades,0.0573
YM1A_3_1_1,YM1A,3,1,1,Syringodium,1725,Blades,0.0048
YM3D_3_1_2,YM3D,3,1,2,Syringodium,3106,Rhizomes,0.0895
YM3D_3_1_2,YM3D,3,1,2,Syringodium,1332,Roots,0.0222
YM4D_3_20_3,YM4D,3,20,3,Syringodium,1228,Rhizomes,0.0212
YM4D_3_20_3,YM4D,3,20,3,Syringodium,3169,Blades,0.0011
YM3C_3_1_3,YM3C,3,1,3,Syringodium,3010,Roots,0.0032
YM3C_3_1_3,YM3C,3,1,3,Syringodium,1711,Rhizomes,0.0146
YM2D_3_20_2,YM2D,3,20,2,Syringodium,1683,Rhizomes,0.0113
YM2D_3_20_2,YM2D,3,20,2,Syringodium,925,Blades,0.0084
YM1C_3_1_2,YM1C,3,1,2,Syringodium,978,Blades,0.2731
YM1C_3_1_2,YM1C,3,1,2,Syringodium,1907,Rhizomes,0.4862
YM1C_3_1_2,YM1C,3,1,2,Syringodium,1318,Roots,0.2914
