"","Reef","Block","Treatment","Transect","Distance","Core","agweight","bgweight","corebladeaream2","shootsm2","corebladeweightm2","coreprodweight","bgprod"
"1","YM1A",1,"A",1,1,1,137.56,570.52,747800,1300,29.95,0.855999931194743,2.47405316398958
"2","YM1A",1,"A",1,1,2,141.32,498.1,1002650,1400,45.3,1.26418457849307,2.60904356806913
"3","YM1A",1,"A",1,1,3,176.52,576.07,1687300,1300,69.16,1.6107787486636,2.46430405254145
"4","YM1A",1,"A",1,20,1,161.37,640.39,1074750,1100,53.49,1.1898908301221,1.97520916395015
"5","YM1A",1,"A",1,20,2,114.96,394.1,920950,900,44.52,0.782230172397937,2.09149379162286
"6","YM1A",1,"A",1,20,3,71.82,391.91,475150,900,22.74,0.547351263080927,2.08925843281471
"7","YM1A",1,"A",2,1,1,80.21,827.5,684600,800,29.21,0.5746828558202,2.02366378185905
"8","YM1A",1,"A",2,1,2,61.82,443.84,628525,1100,26.62,0.718606202059283,2.72563995457323
"9","YM1A",1,"A",2,1,3,82.7,399.2,726775,1000,30.46,0.994754661422514,2.83584935000549
"10","YM1A",1,"A",2,20,1,67.57,100.93,726650,400,37.08,0.544257284604941,1.34797521554417
"11","YM1A",1,"A",2,20,2,57.29,96.36,330750,300,16.88,0.672984693877551,1.33296380159109
"12","YM1A",1,"A",2,20,3,87.85,134.38,685200,400,32.3,0.562099408367445,1.45783200776249
"13","YM1A",1,"A",3,1,1,77.91,509.81,723300,900,31.6,0.633917610496268,2.58592965494013
"14","YM1A",1,"A",3,1,2,145.13,655.83,1194275,1500,52.08,1.43659498672421,2.32788154690583
"15","YM1A",1,"A",3,1,3,89.64,308.56,982125,600,43.57,0.974470186306321,3.10465442155058
"16","YM1A",1,"A",3,20,1,117.17,531.76,1128225,1300,55.87,1.13449220510722,2.10821470191507
"17","YM1A",1,"A",3,20,2,79.95,627.8,754900,1100,35.08,0.771846788319263,1.99524718583367
"18","YM1A",1,"A",3,20,3,87.43,594.29,723650,800,37.7,0.936539849206721,2.04361707562576
"19","YM1B",1,"B",1,1,1,116.67,251.05,1224400,700,53.34,1.27210936747721,3.30526074578083
"20","YM1B",1,"B",1,1,2,167.14,637.33,1107850,1000,54.74,1.3291848234902,2.35921133337284
"21","YM1B",1,"B",1,1,3,254.59,619.91,2718200,1600,116.78,2.43577671114003,2.38878556394597
"22","YM1B",1,"B",1,20,1,66.67,168.78,531750,600,25.64,0.414427736171127,1.56996332854613
"23","YM1B",1,"B",1,20,2,94.81,405.36,840150,700,41.7,0.747764056717309,2.10199039240758
"24","YM1B",1,"B",1,20,3,92.93,316.9,901400,700,39.61,0.683274000704272,1.97494805744671
"25","YM1B",1,"B",2,1,1,112.88,536.78,694100,900,33.43,0.829876890834463,2.53481858636496
"26","YM1B",1,"B",2,1,2,166.29,726.65,1428750,1800,64.16,1.61950862043073,2.20678155889323
"27","YM1B",1,"B",2,1,3,138.66,559.09,996150,900,48.09,1.2048867498617,2.49432441316228
